"","HEK293","HCT","H9","HEK293T","HELA","HEPG2","HUVEC","K562"
"3724931",7.14107552388942,6.84066038777856,6.14113870355815,6.74798606815783,6.55738451185893,6.51073803239036,6.37267609649996,6.44005913605047
"3724969",9.0183212052137,9.77691470826601,5.31301185725966,7.13921702544307,8.4724841182509,9.26100162441541,7.90299671265284,8.199024216497
"3724989",6.85860438663497,7.0067341987048,7.62082965636995,7.44137122730647,8.01332438707222,8.13558690081817,7.70316573748288,8.3477408837527
"3725035",9.68561651506829,10.0427551745732,8.41292971342397,7.83868341532572,9.50390825944699,9.9396535974003,10.1860024394741,9.10937275330969
"3725083",6.7756346480791,7.13232348701978,6.28328383111064,6.76578554637773,6.84467094788445,7.16487458954118,7.41676407093357,7.56486587159407
"3725256",5.81571495058435,6.24589369942305,6.47318380233971,7.36493669613135,5.93710109544931,5.68627735728847,6.22814564689564,6.13725747916658
"3725392",8.67617962391232,9.35321921976427,7.15654245658235,8.87293473782029,8.35511298092149,8.9980280073565,8.62729647237851,8.73714533006367
"3725456",10.2014636726993,10.2178108633218,8.45458187827418,9.36621731932401,7.30942527156269,6.94282526787706,7.34045699631062,7.77924742660868
"3725481",10.3920932790863,10.6297759775011,8.41474182457002,8.46725181748791,10.2173603724824,10.3492431154655,10.0471050507137,9.27273900712842
"3725517",9.87650581743693,5.40991974652911,9.32512344518584,9.23288838147361,8.47537680237406,10.8799838864904,8.92230421268555,10.5497140691365
"3725572",4.84421182955183,5.19761986608029,5.39274975449616,5.33930463006899,5.09457879727108,5.20234287241281,5.55646982384179,5.49698762167883
"3725602",4.89551452526442,5.34641700365907,5.74891113990305,5.5014821956322,4.93534775141261,4.99710357327579,7.80635054737723,5.35424804422134
"3725685",6.49945093143675,7.17672756857317,6.79733928462477,6.65460545024681,6.03341657858601,6.35864643187894,6.21615209552546,6.52161324697037
"3725714",6.12046329899376,6.23344086082167,6.86838930485525,6.87855757989206,5.8893645730131,6.1094851474594,6.43469206592896,6.06681605675347
